X,Y,label
11.87519393,-9.046800347,AC_(Amacrine_cell)
11.96165881,-8.137853356,AC_(Amacrine_cell)
12.02465377,-9.362273904,AC_(Amacrine_cell)
11.77798018,-8.941923829,AC_(Amacrine_cell)
12.74553809,-9.538006516,AC_(Amacrine_cell)
12.45724616,-8.786102029,AC_(Amacrine_cell)
10.54356227,-10.29480812,AC_(Amacrine_cell)
12.09347472,-8.2081382,AC_(Amacrine_cell)
10.4153789,-10.22355721,AC_(Amacrine_cell)
12.00739417,-10.74891827,AC_(Amacrine_cell)
12.00627837,-8.359663697,AC_(Amacrine_cell)
10.92834887,-9.836518975,AC_(Amacrine_cell)
11.21773658,-10.92752621,AC_(Amacrine_cell)
11.61643252,-9.389698716,AC_(Amacrine_cell)
11.20300422,-10.94783375,AC_(Amacrine_cell)
12.50685725,-9.487294885,AC_(Amacrine_cell)
12.69573436,-9.438967439,AC_(Amacrine_cell)
11.42275081,-9.533449861,AC_(Amacrine_cell)
11.90384135,-9.228614541,AC_(Amacrine_cell)
11.8046535,-10.98039791,AC_(Amacrine_cell)
12.05304179,-8.32099125,AC_(Amacrine_cell)
12.68951545,-9.484300347,AC_(Amacrine_cell)
11.96157584,-9.210228654,AC_(Amacrine_cell)
12.02204642,-8.307202073,AC_(Amacrine_cell)
11.58391223,-11.08430168,AC_(Amacrine_cell)
11.53023753,-9.447247239,AC_(Amacrine_cell)
11.27682052,-10.97684643,AC_(Amacrine_cell)
11.67194495,-10.89166901,AC_(Amacrine_cell)
11.98542533,-10.578531,AC_(Amacrine_cell)
12.06329474,-8.3959367,AC_(Amacrine_cell)
11.89578376,-9.05934784,AC_(Amacrine_cell)
10.35097155,-10.10928795,AC_(Amacrine_cell)
12.2692636,-9.500570985,AC_(Amacrine_cell)
11.19800315,-10.91472599,AC_(Amacrine_cell)
11.73904357,-8.363061639,AC_(Amacrine_cell)
13.18516097,-9.503049584,AC_(Amacrine_cell)
11.70496402,-11.055495,AC_(Amacrine_cell)
11.55057368,-10.64230225,AC_(Amacrine_cell)
11.89154372,-8.057444306,AC_(Amacrine_cell)
12.3103908,-9.565623017,AC_(Amacrine_cell)
10.88400493,-9.824363442,AC_(Amacrine_cell)
11.89293895,-8.075091096,AC_(Amacrine_cell)
4.584977959,-9.505573007,AC_(Amacrine_cell)
11.74451098,-8.368215295,AC_(Amacrine_cell)
12.45291266,-9.618497582,AC_(Amacrine_cell)
10.46437011,-10.0126321,AC_(Amacrine_cell)
11.8800138,-8.049576493,AC_(Amacrine_cell)
11.82132945,-8.119522782,AC_(Amacrine_cell)
12.10356269,-10.32679913,AC_(Amacrine_cell)
12.58114085,-9.421206208,AC_(Amacrine_cell)
11.85759005,-8.079165193,AC_(Amacrine_cell)
11.33847174,-11.03810665,AC_(Amacrine_cell)
11.36593089,-11.10922978,AC_(Amacrine_cell)
12.69022975,-9.392764779,AC_(Amacrine_cell)
10.63267264,-10.26308319,BC5A_(Cone_Bipolar_cell_5A)
11.36113009,-11.09945461,BC5A_(Cone_Bipolar_cell_5A)
12.70812354,-9.262143823,BC5A_(Cone_Bipolar_cell_5A)
11.86023841,-8.12056038,BC5A_(Cone_Bipolar_cell_5A)
12.67997966,-9.131656381,BC5A_(Cone_Bipolar_cell_5A)
11.83046946,-8.067661973,BC5A_(Cone_Bipolar_cell_5A)
11.78224788,-8.047476502,BC5A_(Cone_Bipolar_cell_5A)
13.22432265,-9.51933262,BC5A_(Cone_Bipolar_cell_5A)
10.46179423,-10.25441811,Doublets/Contaminants
11.76613173,-8.302435609,BC5A_(Cone_Bipolar_cell_5A)
11.9277061,-10.85924408,BC5A_(Cone_Bipolar_cell_5A)
11.94894633,-8.259315225,BC5A_(Cone_Bipolar_cell_5A)
11.49397502,-9.374938699,Doublets/Contaminants
10.66209349,-9.985666963,Doublets/Contaminants
13.31220946,-9.547816011,BC5A_(Cone_Bipolar_cell_5A)
12.56405673,-9.629888269,BC5A_(Cone_Bipolar_cell_5A)
13.10964427,-9.519867631,BC5A_(Cone_Bipolar_cell_5A)
10.33233199,-10.14462731,BC5A_(Cone_Bipolar_cell_5A)
11.57701621,-9.5340831,Doublets/Contaminants
11.87520633,-8.975547524,BC5A_(Cone_Bipolar_cell_5A)
11.75702414,-8.761790963,BC5A_(Cone_Bipolar_cell_5A)
10.33522162,-10.18518993,BC5A_(Cone_Bipolar_cell_5A)
12.00556884,-9.393468591,BC5A_(Cone_Bipolar_cell_5A)
12.19697509,-9.641527864,BC5A_(Cone_Bipolar_cell_5A)
11.50262675,-11.03906319,BC5A_(Cone_Bipolar_cell_5A)
11.11398253,-10.828284,BC5A_(Cone_Bipolar_cell_5A)
11.55460391,-11.11656353,BC5A_(Cone_Bipolar_cell_5A)
11.70119796,-8.052674027,BC5A_(Cone_Bipolar_cell_5A)
